price_per_area,rooms,fee,living_space,supplemental_area,price,asked_price,land_area,longitude,latitude,typeSummary,year,month,day,floor
32051.0,2.0,3042.0,39.0,,1250000.0,1175000.0,,60.677109228448984,17.1276304768477,Bostadsrättslägenhet,2020,10,12,0.0
20764.0,3.0,4233.0,72.0,,1495000.0,1495000.0,,59.309946353126215,14.093055098948822,Bostadsrättslägenhet,2020,10,12,0.0
20608.0,6.0,,148.0,2.0,3050000.0,2975000.0,376.0,58.98530755637052,17.884849168905266,Kedjehus,2020,10,12,0.0
16667.0,5.0,,150.0,82.0,2500000.0,1950000.0,930.0,56.08431490435941,14.479011011583912,Villa,2020,10,12,0.0
112868.0,3.0,3076.0,68.0,,7675000.0,6795000.0,,59.33658040542884,18.053622262812546,Bostadsrättslägenhet,2020,10,12,0.0
31273.0,2.0,4043.0,55.0,,1720000.0,1645000.0,,59.414786831850186,17.921831982182447,Bostadsrättslägenhet,2020,10,12,3.0
32093.0,8.0,,215.0,30.0,6900000.0,6995000.0,825.0,59.42782972682712,17.811588443746892,Kedjehus,2020,10,12,0.0
30909.0,2.0,3336.0,55.0,,1700000.0,1500000.0,,59.28160704954342,15.227842193216603,Bostadsrättslägenhet,2020,10,12,0.0
56250.0,7.0,,136.0,58.0,7650000.0,6725000.0,1355.0,59.22411942744167,18.19370534848295,Villa,2020,10,12,0.0
34762.0,5.0,,105.0,70.0,3650000.0,2995000.0,638.0,56.04582225512739,12.727229839571843,Villa,2020,10,12,0.0
41974.0,2.0,2437.0,38.0,,1595000.0,1595000.0,,55.59814906897818,13.015580442182955,Bostadsrättslägenhet,2020,10,12,0.0
53302.0,2.0,2649.0,53.0,0.0,2825000.0,2495000.0,,59.28474955417135,17.966501995565736,Bostadsrättslägenhet,2020,10,12,0.0
73333.0,2.0,2961.0,52.5,,3850000.0,3895000.0,,59.31498147076069,18.124652833762596,Bostadsrättslägenhet,2020,10,12,0.0
8333.0,5.0,,180.0,0.0,1500000.0,595000.0,33720.0,61.983059787326894,14.859177332560776,Gård,2020,10,12,0.0
29224.0,9.0,,219.0,99.0,6400000.0,4475000.0,933.0,57.702148027442455,12.961601037824666,Villa,2020,10,12,0.0
5556.0,7.0,,180.0,85.0,1000000.0,875000.0,845.0,57.352998314374105,12.891479056736921,Villa,2020,10,12,0.0
896.0,6.0,,106.0,,95000.0,175000.0,885.0,65.79465305543972,23.16985314756004,Villa,2020,10,12,0.0
38776.0,3.0,3819.0,73.5,,2850000.0,2495000.0,,57.09427866444675,12.250623932359748,Bostadsrättslägenhet,2020,10,12,0.0
31273.0,2.0,4043.0,55.0,,1720000.0,1645000.0,,59.414786831850186,17.921831982182447,Bostadsrättslägenhet,2020,10,12,3.0
,,,,,500000.0,495000.0,1952.0,59.726648652448965,18.78205284325947,Tomt,2020,10,12,0.0
33923.0,2.0,3967.0,65.0,,2205000.0,2095000.0,,57.66252780812119,11.991025530189972,Bostadsrättslägenhet,2020,10,12,0.0
33224.0,3.0,4650.0,76.0,,2525000.0,2395000.0,,57.663584700905375,11.990116172171783,Bostadsrättslägenhet,2020,10,12,0.0
18543.0,8.0,,151.0,71.0,2800000.0,2850000.0,673.0,59.31413260910676,14.120752225774957,Villa,2020,10,12,0.0
64035.0,2.0,2726.0,57.0,,3650000.0,3195000.0,,59.30683901590043,18.026543273515795,Bostadsrättslägenhet,2020,10,12,0.0
,,,,,1795000.0,1795000.0,884.6,57.78203151256862,12.100173591490348,Tomt,2020,10,12,0.0
23585.0,3.0,3028.0,53.0,,1250000.0,1095000.0,,55.58317711680426,13.023999800377835,Bostadsrättslägenhet,2020,10,12,0.0
24351.0,3.0,4322.0,65.5,,1595000.0,1595000.0,,57.85100499127788,12.02013365539596,Bostadsrättslägenhet,2020,10,12,0.0
30909.0,2.0,3336.0,55.0,,1700000.0,1500000.0,,59.28160704954342,15.227842193216603,Bostadsrättslägenhet,2020,10,12,0.0
24351.0,3.0,4322.0,65.5,,1595000.0,1595000.0,,57.85100499127788,12.02013365539596,Bostadsrättslägenhet,2020,10,12,0.0
23585.0,3.0,3028.0,53.0,,1250000.0,1095000.0,,55.58317711680426,13.023999800377835,Bostadsrättslägenhet,2020,10,12,0.0
24848.0,3.0,5432.0,82.5,,2050000.0,1795000.0,,55.557321460734265,12.932044489531043,Bostadsrättslägenhet,2020,10,12,0.0
20764.0,3.0,4233.0,72.0,,1495000.0,1495000.0,,59.309946353126215,14.093055098948822,Bostadsrättslägenhet,2020,10,12,0.0
55648.0,5.0,,108.0,108.0,6010000.0,5795000.0,668.0,57.64621246492985,12.037719806237726,Villa,2020,10,12,0.0
35625.0,2.5,3312.0,80.0,,2850000.0,2890000.0,,56.661849220126726,16.349103036212895,Bostadsrättslägenhet,2020,10,12,0.0
34328.0,2.5,3962.0,67.0,,2300000.0,2095000.0,,56.05544811439601,12.691424038819493,Bostadsrättslägenhet,2020,10,12,0.0
73333.0,2.0,2961.0,52.5,,3850000.0,3895000.0,,59.31498147076069,18.124652833762596,Bostadsrättslägenhet,2020,10,12,0.0
25127.0,6.0,,157.0,,3945000.0,3995000.0,2145.0,59.52660315726402,18.64302443479593,Villa,2020,10,12,0.0
8333.0,5.0,,180.0,0.0,1500000.0,595000.0,33720.0,61.983059787326894,14.859177332560776,Gård,2020,10,12,0.0
64035.0,2.0,2726.0,57.0,,3650000.0,3195000.0,,59.30683901590043,18.026543273515795,Bostadsrättslägenhet,2020,10,12,0.0
34762.0,5.0,,105.0,70.0,3650000.0,2995000.0,638.0,56.04582225512739,12.727229839571843,Villa,2020,10,12,0.0
22222.0,5.0,,135.0,12.0,3000000.0,2995000.0,2642.0,57.885508280906066,14.328821228549433,Villa,2020,10,12,0.0
62500.0,4.0,,76.0,14.0,4750000.0,4150000.0,408.0,57.65203731471596,11.991710148541003,Kedjehus,2020,10,12,0.0
22381.0,2.0,3975.0,52.5,,1175000.0,1075000.0,,58.33642684027257,11.916286546581013,Bostadsrättslägenhet,2020,10,12,0.0
22222.0,5.0,,135.0,12.0,3000000.0,2995000.0,2642.0,57.885508280906066,14.328821228549433,Villa,2020,10,12,0.0
56250.0,7.0,,136.0,58.0,7650000.0,6725000.0,1355.0,59.22411942744167,18.19370534848295,Villa,2020,10,12,0.0
36058.0,2.0,4414.0,52.0,,1875000.0,1795000.0,,59.23762556103229,17.978347465733346,Bostadsrättslägenhet,2020,10,12,0.0
45857.0,2.0,,70.0,,3210000.0,2700000.0,1290.0,59.5636066191858,16.528437911880324,Villa,2020,10,12,0.0
20764.0,3.0,4233.0,72.0,,1495000.0,1495000.0,,59.309946353126215,14.093055098948822,Bostadsrättslägenhet,2020,10,12,0.0
32093.0,8.0,,215.0,30.0,6900000.0,6995000.0,825.0,59.42782972682712,17.811588443746892,Kedjehus,2020,10,12,0.0
62500.0,4.0,,76.0,14.0,4750000.0,4150000.0,408.0,57.65203731471596,11.991710148541003,Kedjehus,2020,10,12,0.0
40299.0,6.0,,167.5,21.5,6750000.0,5295000.0,744.0,59.52078851388057,18.08539526510733,Villa,2020,10,12,0.0
32283.0,4.0,5555.0,127.0,,4100000.0,3695000.0,,55.596522257625985,13.011138934719886,Bostadsrättslägenhet,2020,10,12,0.0
3077.0,3.0,,65.0,55.0,200000.0,225000.0,1375.0,62.880348347009644,17.856229943184967,Villa,2020,10,12,0.0
41974.0,2.0,2437.0,38.0,,1595000.0,1595000.0,,55.59814906897818,13.015580442182955,Bostadsrättslägenhet,2020,10,12,0.0
38492.0,5.0,,126.0,8.0,4850000.0,4395000.0,475.0,59.172636130120715,17.447643094243684,Villa,2020,10,12,0.0
18125.0,3.0,,80.0,,1450000.0,1490000.0,1170.0,56.644505709510334,16.53105575254645,Vinterbonat fritidshus,2020,10,12,0.0
32283.0,4.0,5555.0,127.0,,4100000.0,3695000.0,,55.596522257625985,13.011138934719886,Bostadsrättslägenhet,2020,10,12,0.0
3077.0,3.0,,65.0,55.0,200000.0,225000.0,1375.0,62.880348347009644,17.856229943184967,Villa,2020,10,12,0.0
21091.0,2.0,3195.0,61.4,,1295000.0,1295000.0,,58.760067508186516,17.020971218870102,Bostadsrättslägenhet,2020,10,12,0.0
20764.0,3.0,4233.0,72.0,,1495000.0,1495000.0,,59.309946353126215,14.093055098948822,Bostadsrättslägenhet,2020,10,12,0.0
24848.0,3.0,5432.0,82.5,,2050000.0,1795000.0,,55.557321460734265,12.932044489531043,Bostadsrättslägenhet,2020,10,12,0.0
21091.0,2.0,3195.0,61.4,,1295000.0,1295000.0,,58.760067508186516,17.020971218870102,Bostadsrättslägenhet,2020,10,12,0.0
,,,,,1795000.0,1795000.0,884.6,57.78203151256862,12.100173591490348,Tomt,2020,10,12,0.0
51197.0,2.0,4212.0,58.5,,2995000.0,2995000.0,,55.41716111946298,12.949914812493182,Bostadsrättslägenhet,2020,10,12,0.0
29224.0,9.0,,219.0,99.0,6400000.0,4475000.0,933.0,57.702148027442455,12.961601037824666,Villa,2020,10,12,0.0
37931.0,2.0,2395.0,58.0,,2200000.0,1895000.0,,58.419027230153624,15.59683340067122,Bostadsrättslägenhet,2020,10,12,0.0
18543.0,8.0,,151.0,71.0,2800000.0,2850000.0,673.0,59.31413260910676,14.120752225774957,Villa,2020,10,12,0.0
36058.0,2.0,4414.0,52.0,,1875000.0,1795000.0,,59.23762556103229,17.978347465733346,Bostadsrättslägenhet,2020,10,12,0.0
37931.0,2.0,2395.0,58.0,,2200000.0,1895000.0,,58.419027230153624,15.59683340067122,Bostadsrättslägenhet,2020,10,12,0.0
33923.0,2.0,3967.0,65.0,,2205000.0,2095000.0,,57.66252780812119,11.991025530189972,Bostadsrättslägenhet,2020,10,12,0.0
29095.0,1.0,2428.0,23.2,,675000.0,695000.0,,55.59033216439363,13.020720130207373,Bostadsrättslägenhet,2020,10,12,0.0
5556.0,7.0,,180.0,85.0,1000000.0,875000.0,845.0,57.352998314374105,12.891479056736921,Villa,2020,10,12,0.0
20089.0,5.0,4618.0,112.0,,2250000.0,1795000.0,,58.381869041794914,12.331068707560583,Bostadsrättslägenhet,2020,10,12,0.0
25127.0,6.0,,157.0,,3945000.0,3995000.0,2145.0,59.52660315726402,18.64302443479593,Villa,2020,10,12,0.0
38923.0,2.0,3332.0,65.0,,2530000.0,1995000.0,,59.26020752994676,18.04625415884397,Bostadsrättslägenhet,2020,10,12,0.0
14286.0,2.0,4060.0,59.5,,850000.0,750000.0,,55.58951839608791,13.045057353162054,Bostadsrättslägenhet,2020,10,12,0.0
51197.0,2.0,4212.0,58.5,,2995000.0,2995000.0,,55.41716111946298,12.949914812493182,Bostadsrättslägenhet,2020,10,12,0.0
16667.0,5.0,,150.0,82.0,2500000.0,1950000.0,930.0,56.08431490435941,14.479011011583912,Villa,2020,10,12,0.0
,,,,,500000.0,495000.0,1952.0,59.726648652448965,18.78205284325947,Tomt,2020,10,12,0.0
45857.0,2.0,,70.0,,3210000.0,2700000.0,1290.0,59.5636066191858,16.528437911880324,Villa,2020,10,12,0.0
38923.0,2.0,3332.0,65.0,,2530000.0,1995000.0,,59.26020752994676,18.04625415884397,Bostadsrättslägenhet,2020,10,12,0.0
34328.0,2.5,3962.0,67.0,,2300000.0,2095000.0,,56.05544811439601,12.691424038819493,Bostadsrättslägenhet,2020,10,12,0.0
42473.0,4.0,4990.0,93.0,,3950000.0,3195000.0,,59.20720091166112,17.906816348840202,Bostadsrättslägenhet,2020,10,12,0.0
52448.0,3.0,4082.0,71.5,,3750000.0,3495000.0,,59.34977963413839,17.9850571920506,Bostadsrättslägenhet,2020,10,12,1.0
896.0,6.0,,106.0,,95000.0,175000.0,885.0,65.79465305543972,23.16985314756004,Villa,2020,10,12,0.0
38776.0,3.0,3819.0,73.5,,2850000.0,2495000.0,,57.09427866444675,12.250623932359748,Bostadsrättslägenhet,2020,10,12,0.0
52448.0,3.0,4082.0,71.5,,3750000.0,3495000.0,,59.34977963413839,17.9850571920506,Bostadsrättslägenhet,2020,10,12,1.0
22381.0,2.0,3975.0,52.5,,1175000.0,1075000.0,,58.33642684027257,11.916286546581013,Bostadsrättslägenhet,2020,10,12,0.0
64935.0,3.0,4935.0,77.0,,5000000.0,4250000.0,,59.295053918230046,18.097384808788696,Bostadsrättslägenhet,2020,10,12,0.0
18125.0,3.0,,80.0,,1450000.0,1490000.0,1170.0,56.644505709510334,16.53105575254645,Vinterbonat fritidshus,2020,10,12,0.0
29095.0,1.0,2428.0,23.2,,675000.0,695000.0,,55.59033216439363,13.020720130207373,Bostadsrättslägenhet,2020,10,12,0.0
20608.0,6.0,,148.0,2.0,3050000.0,2975000.0,376.0,58.98530755637052,17.884849168905266,Kedjehus,2020,10,12,0.0
38492.0,5.0,,126.0,8.0,4850000.0,4395000.0,475.0,59.172636130120715,17.447643094243684,Villa,2020,10,12,0.0
32813.0,3.0,5500.0,128.0,,4200000.0,4200000.0,,57.78945442218162,14.139396520409582,Bostadsrättslägenhet,2020,10,12,0.0
32813.0,3.0,5500.0,128.0,,4200000.0,4200000.0,,57.78945442218162,14.139396520409582,Bostadsrättslägenhet,2020,10,12,0.0
55648.0,5.0,,108.0,108.0,6010000.0,5795000.0,668.0,57.64621246492985,12.037719806237726,Villa,2020,10,12,0.0
53302.0,2.0,2649.0,53.0,0.0,2825000.0,2495000.0,,59.28474955417135,17.966501995565736,Bostadsrättslägenhet,2020,10,12,0.0
35625.0,2.5,3312.0,80.0,,2850000.0,2890000.0,,56.661849220126726,16.349103036212895,Bostadsrättslägenhet,2020,10,12,0.0
64935.0,3.0,4935.0,77.0,,5000000.0,4250000.0,,59.295053918230046,18.097384808788696,Bostadsrättslägenhet,2020,10,12,0.0
42473.0,4.0,4990.0,93.0,,3950000.0,3195000.0,,59.20720091166112,17.906816348840202,Bostadsrättslägenhet,2020,10,12,0.0
